"","X","CD.Name","Common.Name","NS.Probe.ID","Class.Name","Gene.Class","Cell.Type","CT.antigen","surface.marker","is.HK","IR.Innate","IR.Adaptive","IR.Humoral","IR.F","Adhesion","Antigen.Processing","B.Cell.Functions","Cell.Cycle","Cell.Functions","Chemokines","Complement","Cytokines","Cytotoxicity","Interleukins","Leukocyte.Functions","Macrophage.Functions","Microglial.Functions","NK.Cell.Functions","Pathogen.Defense","Regulation","Senescence","T.Cell.Functions","TLR","TNF.Super.family","Transporter.Functions","Immune.Response.Category","Annotation","Synonyms...Previous.Symbols","IR.Type","Cell.Type.April","Cell.Type.TCGA2"
"NEFL",554,NA,"NEFL","NM_006158.3:3300","Endogenous","Immune Response - Cell Type specific","Tcm",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","NFL, CMT1F, CMT2E, NF68, PPP1R110",NA,NA,NA
"NFATC1",555,NA,"NFATC1","NM_172389.1:1984","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Transcription factors, Transcriptional regulators","NF-ATC, NFATc, NFAT2",NA,NA,NA
"NFATC2",556,NA,"NFATC2","NM_012340.3:1815","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Transcription factors, Transcriptional regulators","NF-ATP, NFATp, NFAT1",NA,NA,NA
"NFATC3",557,NA,"NFATC3","NM_004555.2:2190","Endogenous","Immune Response","Tcm",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Transcriptional regulators","NFAT4, NFATX",NA,"Tcm",NA
"NFATC4",558,NA,"NFATC4","NM_001136022.2:2296","Endogenous","Immune Response - Cell Type specific","Tem",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Cell Type specific, Inflammatory response","NFAT3","F",NA,NA
"NFKB1",559,NA,"NFKB1","NM_003998.2:1675","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","KBF1, p105, NFKB-p50, p50, NF-kappaB, NFkappaB, NF-kB1","I",NA,NA
"NFKB2",560,NA,"NFKB2","NM_002502.2:825","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","LYT-10, p52, p105, NF-kB2","I",NA,NA
"NFKBIA",561,NA,"NFKBIA","NM_020529.1:945","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","NFKBI, IKBA, MAD-3, IkappaBalpha","I",NA,NA
"NLRC5",562,NA,"NLRC5","NM_032206.4:860","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","NOD27, CLR16.1, FLJ21709","I",NA,NA
"NLRP3",563,NA,"NLRP3","NM_001079821.2:415","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","C1orf7, CIAS1, AGTAVPRL, AII, AVP, FCAS, FCU, NALP3, PYPAF1, MWS, CLR1.1","I",NA,NA
"NOD1",564,NA,"NOD1","NM_006092.1:3285","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","CARD4, NLRC1, CLR7.1","I",NA,NA
"NOD2",565,NA,"NOD2","NM_022162.1:4080","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cytokines","Innate immune response, Cytokines and receptors","IBD1, CARD15, BLAU, CD, PSORAS1, CLR16.3, NLRC2","I",NA,NA
"NOL7",566,NA,"NOL7","NM_016167.3:335","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","C6orf90, PQBP3, NOP27, RARG-1, dJ223E5.2",NA,NA,NA
"NOS2A",567,NA,"NOS2","NM_153292.1:546","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Inflammatory response","NOS, INOS, NOS2A, HEP-NOS, NOS2A","F",NA,NA
"NOTCH1",568,NA,"NOTCH1","NM_017617.3:735","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Transcriptional regulators","TAN1",NA,NA,NA
"NRP1",569,"CD304","NRP1","NM_003873.5:370","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, CD molecules","NRP, VEGF165R, CD304",NA,NA,NA
"NT5E",570,"CD73","NT5E","NM_002526.2:1214","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Transporter Functions","CD molecules, Phagocytosis","NT5, CD73, eN, eNT, CALJA",NA,NA,NA
"NUBP1",571,NA,"NUBP1","NM_001278506.1:304","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","NBP1, NBP35",NA,NA,NA
"NUP107",572,NA,"NUP107","NM_020401.2:1002","Endogenous","Immune Response - Cell Type specific","T helper cells",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Cycle","Cell Type specific, M phase of mitotic cell cycle","NUP84",NA,"T helper cells",NA
"OAS3",573,NA,"OAS3","NM_006187.2:4980","Endogenous","Immune Response - Cell Type specific","aDC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"Cytokines, Pathogen Defense","Cell Type specific, Cytokines and receptors, Defense response to virus","",NA,"aDC",NA
"OSM",574,NA,"OSM","NM_020530.4:580","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions","MGC20461",NA,NA,NA
"PASD1",575,NA,"PASD1","NM_173493.2:820","Endogenous","CT Antigen",NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","CT63",NA,NA,NA
"PAX5",576,NA,"PAX5","NM_016734.1:2288","Endogenous","Immune Response",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Humoral immune response","BSAP","H",NA,NA
"PBK",577,NA,"PBK","NM_018492.2:1587","Endogenous","CT Antigen",NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","TOPK, FLJ14385, Nori-3, SPK, CT84",NA,NA,NA
"PDCD1",578,"CD279","PDCD1","NM_005018.1:175","Endogenous","Immune Response - Cell Type specific","TFH",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Adaptive immune response, Cell Type specific, CD molecules, Humoral immune response, Negative regulation of immune response","SLEB2, CD279, PD1, hSLE1","A;H","TFH",NA
"PDCD1LG2",579,"CD273","PD-L2","NM_025239.3:235","Endogenous","Immune Response",NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Adaptive immune response, CD molecules","PD-L2, Btdc, PDL2, bA574F11.2, CD273, B7-DC","A",NA,NA
"PDGFC",580,NA,"PDGFC","NM_016205.2:1632","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions","SCDGF, fallotein",NA,NA,NA
"PDGFRB",581,"CD140b","PDGFRB","NM_002609.3:840","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","CD molecules","PDGFR, JTK12, CD140b, PDGFR1",NA,NA,NA
"PECAM1",582,"CD31","PECAM1","NM_000442.3:1365","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Transporter Functions","CD molecules, Receptors involved in phagocytosis","CD31",NA,NA,NA
"PIK3CD",583,NA,"PIK3CD","NM_005026.3:2978","Endogenous","Immune Response",NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Adaptive immune response, Innate immune response","p110D","A;I",NA,NA
"PIK3CG",584,NA,"PIK3CG","NM_002649.2:2125","Endogenous","Immune Response",NA,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Adaptive immune response, Innate immune response","","A;I",NA,NA
"PIN1",585,NA,"PIN1","NM_006221.2:434","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","dod","I",NA,NA
"PLA2G1B",586,NA,"PLA2","NM_000928.2:396","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Positive regulation of immune response","PLA2, PPLA2, PLA2A",NA,NA,NA
"PLA2G6",587,NA,"PLA2G6","NM_001004426.1:1954","Endogenous","Immune Response - Cell Type specific","NK CD56bright cells",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","iPLA2, PNPLA9, PARK14, iPLA2beta, NBIA2",NA,"NK CD56bright cells",NA
"PLAU",588,NA,"PLAU","NM_002658.2:793","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Senescence","Senescence pathway","URK, UPA",NA,NA,NA
"PLAUR",589,"CD87","PLAUR","NM_001005376.1:440","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","CD molecules","URKR, UPAR, CD87",NA,NA,NA
"PMCH",590,NA,"PMCH","NM_002674.2:172","Endogenous","Immune Response - Cell Type specific","Treg",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","MCH",NA,NA,NA
"PNMA1",591,NA,"PNMA1","NM_006029.4:1565","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Inflammatory response to antigenic stimulus","MA1","F",NA,NA
"POLR2A",592,NA,"POLR2A","NM_000937.2:3775","Endogenous","HK",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","POLR2, POLRA, RPB1",NA,NA,NA
"POU2AF1",593,NA,"POU2AF1","NM_006235.2:1675","Endogenous","Immune Response",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Humoral immune response","OBF1","H",NA,NA
"POU2F2",594,NA,"POU2F2","NM_002698.2:908","Endogenous","Immune Response",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Humoral immune response","OTF2, 41914","H",NA,NA
"PPARG",595,NA,"PPARgamma","NM_015869.3:1035","Endogenous","Immune Response","iDC",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","PPARG1, PPARG2, NR1C3, PPARgamma","I",NA,NA
"PPBP",596,NA,"CXCL7","NM_002704.2:330","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors","THBGB1, SCYB7, TGB, NAP-2-L1, LA-PF4, MDGF, LDGF, Beta-TG, CTAP3, CXCL7, PBP, b-TG1, TGB1, CTAPIII, NAP-2",NA,NA,NA
"PPIA",597,NA,"PPIA","NM_021130.2:925","Endogenous","HK",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","CYPA",NA,NA,NA
"PRAME",598,NA,"PRAME","NM_006115.3:1390","Endogenous","CT Antigen",NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","MAPE, CT130",NA,NA,NA
"PRF1",599,NA,"PRF1","NM_005041.3:2120","Endogenous","Immune Response - Cell Type specific","Cytotoxic cells",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,"Cytotoxicity, Pathogen Defense","Adaptive immune response, Cell Type specific, Cytotoxicity, Defense response to tumor cell, Defense response to virus","PFP, P1, HPLH2","A","Cytotoxic cells","Cytotoxic cells"
"PRG2",600,NA,"PRG2","NM_002728.4:256","Endogenous","Immune Response - Cell Type specific","Mast cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Pathogen Defense","Cell Type specific, Defense response to bacterium","MBP, BMPG",NA,NA,NA
"PRKCD",601,NA,"PRKCD","NM_006254.3:2165","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Senescence","Senescence initiators","",NA,NA,NA
"PRKCE",602,NA,"PRKCE","NM_005400.2:1695","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Macrophage Functions","Macrophage activation","",NA,NA,NA
"PRM1",603,NA,"PRM1","NM_002761.2:319","Endogenous","CT Antigen",NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","CT94.1",NA,NA,NA
"PRPF38A",604,NA,"PRPF38A","NM_032864.3:335","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","FLJ14936, Prp38",NA,NA,NA
"PSEN1",605,NA,"PSEN1","NM_000021.2:900","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"T-Cell Functions","T-cell activation","AD3, FAD, S182, PS1",NA,NA,NA
"PSEN2",606,NA,"PSEN2","NM_000447.2:915","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"T-Cell Functions","T-cell activation","AD4, AD3L, STM2, PS2",NA,NA,NA
"PSMB10",607,NA,"PSMB10","NM_002801.2:221","Endogenous","Immune Response",NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Humoral immune response","MECL1, LMP10, MGC1665, beta2i","H",NA,NA
"PSMB7",608,NA,"PSMB7","NM_002799.2:420","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Antigen Processing","Antigen processing and presentation","Z",NA,NA,NA
"PSMB8",609,NA,"PSMB8","NM_004159.4:1215","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chemokines","Chemokines and receptors","LMP7, RING10, D6S216E, PSMB5i, beta5i",NA,NA,NA
"PSMB9",610,NA,"PSMB9","NM_002800.4:455","Endogenous","Immune Response",NA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Antigen Processing","Adaptive immune response, Antigen processing and presentation","LMP2, RING12, beta1i, PSMB6i","A",NA,NA
"PSMD7",611,NA,"PSMD7","NM_002811.3:580","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","CD molecules","S12, P40, MOV34, Rpn8",NA,NA,NA
"PTGDR2",612,"CD294","GPR44","NM_004778.1:1835","Endogenous","Immune Response - Cell Type specific",NA,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific, CD molecules","GPR44, CRTH2, CD294, DP2",NA,NA,NA
"PTGS2",613,NA,"PTGS2","NM_000963.1:495","Endogenous","Immune Response","MDSC",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cytokines","Acute-phase response, Cytokines and receptors","COX2",NA,"MDSC",NA
"PTPRC",614,"CD45","CD45","NM_080921.3:258","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"B-Cell Functions, T-Cell Functions","B-cell proliferation, CD molecules, T-cell differentiation","CD45, LCA, T200, GP180",NA,"CD45","CD45"
"PVR",615,"CD155","PVR","NM_006505.3:604","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","CD molecules, Regulation of immune response","PVS, CD155, HVED, Necl-5, NECL5, Tage4",NA,NA,NA
"PYCARD",616,NA,"PYCARD","NM_013258.3:714","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","TMS-1, CARD5, ASC","I",NA,NA
"RAG1",617,NA,"RAG1","NM_000448.2:2300","Endogenous","Immune Response",NA,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"B-Cell Functions","Adaptive immune response, B-cell differentiation","RNF74, MGC43321","A",NA,NA
"REL",618,NA,"REL","NM_002908.2:225","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Transcription factors","I-Rel, c-Rel",NA,NA,NA
"RELA",619,NA,"RELA","NM_021975.2:360","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","NFKB3, p65","I",NA,NA
"RELB",620,NA,"RELB","NM_006509.2:250","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Transcription factors","REL-B",NA,NA,NA
"REPS1",621,NA,"REPS1","NM_001128617.2:1288","Endogenous","Immune Response - Cell Type specific","Tcm",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","",NA,NA,NA
"RIPK2",622,NA,"RIPK2","NM_003821.5:1695","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","RICK, RIP2, CARDIAK, CARD3","I",NA,NA
"ROPN1",623,NA,"ROPN1","NM_017578.2:195","Endogenous","CT Antigen",NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","ODF6, ropporin, ROPN1A, CT91",NA,NA,NA
"RORA",624,NA,"RORA","NM_134261.2:1715","Endogenous","Immune Response","Cytotoxic cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Transcription factors","RZRA, ROR1, ROR2, ROR3, NR1F1",NA,NA,NA
"RORC",625,NA,"RORC","NM_001001523.1:1350","Endogenous","Immune Response - Cell Type specific","Th17 cells",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","RZRG, RORG, NR1F3, TOR",NA,"Th17 cells",NA
"RPS6",626,NA,"RPS6","NM_001010.2:171","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"T-Cell Functions","T-cell proliferation","S6",NA,NA,NA
"RRAD",627,NA,"RRAD","NM_004165.1:960","Endogenous","Immune Response - Cell Type specific","NK CD56bright cells",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cell Functions","Basic cell functions, Cell Type specific","REM3, RAD",NA,"NK CD56bright cells",NA
"RUNX1",628,NA,"RUNX1","NM_001754.4:635","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Transcription factors","AML1, CBFA2, PEBP2A2, AMLCR1",NA,NA,NA
"RUNX3",629,NA,"RUNX3","NM_004350.1:2085","Endogenous","Immune Response","Cytotoxic cells",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Transcription factors","CBFA3, AML2, PEBP2A3",NA,NA,NA
"S100A12",630,NA,"S100A12","NM_005621.1:260","Endogenous","Immune Response","Neutrophils",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","p6, MRP6, CGRP, CAAF1, CAGC, ENRAGE","I","Neutrophils","Neutrophils"
"S100A7",631,NA,"S100A7","NM_002963.2:69","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","PSOR1, S100A7c","I",NA,NA
"S100A8",632,NA,"S100A8","NM_002964.3:115","Endogenous","Immune Response",NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Inflammatory response","CAGA, CFAG, P8, MRP8, 60B8AG, CGLA","F",NA,NA
"S100B",633,NA,"S100B","NM_006272.1:85","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","S100beta","I",NA,NA
"SAA1",634,NA,"SAA1","NM_199161.1:135","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","SAA, PIG4, TP53I4","I",NA,NA
"SAP130",635,NA,"SAP130","NM_024545.3:3090","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","FLJ12761",NA,NA,NA
"SBNO2",636,NA,"SBNO2","NM_014963.2:2002","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"Macrophage Functions","Macrophage activation","KIAA0963, FLJ00173, Stno, Sno",NA,NA,NA
"SDHA",637,NA,"SDHA","NM_004168.1:230","Endogenous","HK",NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","SDH2, FP, SDHF",NA,NA,NA
"SELE",638,"CD62E","CD62E","NM_000450.2:1505","Endogenous","Immune Response",NA,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","CD molecules, Regulation of inflammatory response","ELAM1, ELAM, ESEL, CD62E","F",NA,NA
"SELL",639,"CD62L","CD62L","NR_029467.1:1585","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","CD molecules, Regulation of immune response","LYAM1, LNHR, LSEL, LAM1, LAM-1, hLHRc, Leu-8, Lyam-1, PLNHR, CD62L",NA,NA,NA
"SELPLG",640,"CD162","SELPLG","NM_001206609.1:326","Endogenous","Immune Response",NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","CD molecules","PSGL-1, CD162",NA,NA,NA
"SEMG1",641,NA,"SEMG1","NM_003007.2:1290","Endogenous","CT Antigen",NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","SEMG, CT103",NA,NA,NA
"SERPINB2",642,NA,"SERPINB2","NM_002575.1:305","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Senescence","Senescence initiators interferon related","PLANH2, PAI2, HsT1201",NA,NA,NA
"SERPING1",643,NA,"SERPING1","NM_000062.2:305","Endogenous","Immune Response",NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Innate immune response","C1NH, C1IN, C1-INH, HAE1, HAE2","I",NA,NA
"SF3A3",644,NA,"SF3A3","NM_006802.2:2060","Housekeeping","HK",NA,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","SF3a60, SAP61, PRP9, PRPF9",NA,NA,NA
"SH2B2",645,NA,"SH2B2","NM_020979.3:1567","Endogenous","Immune Response",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"Regulation","Regulation of immune response","APS",NA,NA,NA
"SH2D1A",646,NA,"SH2D1A","NM_001114937.2:495","Endogenous","Immune Response","T-cells",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","Humoral immune response","IMD5, LYP, XLP, MTCP1, DSHP, XLPD, EBVS, SAP","H","T-cells","T-cells"
